Borough,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
Latitude,39.92435,39.88119,39.93563,39.87971,39.91116,39.93739,39.96761,40.08124,40.003124,39.86374,39.810443,40.09517,39.74788,39.72684,39.80258,39.90998,40.120728,40.22077,39.94048,40.14062,40.316,40.37625,40.45678,40.294948,40.356585,40.52248,40.10479,39.70886,39.51048,39.59814,39.9001,39.874212,40.22077,39.85933,39.91107
Longitude,116.41749,116.41049,116.35972,116.36855,116.28073,116.46246,116.29765,116.15673,116.208284,116.28541,116.161999,116.49649,116.14294,116.34159,116.48061,116.65714,116.662253,116.23128,116.10146,117.12141,116.63177,116.84317,115.97503,116.225829,116.01548,116.87101,117.11673,116.79679,116.31557,116.03077,116.39794,116.398188,116.23128,116.43465,116.48995
